Title,Rating,Image_URL,Local_Image_Path,Listing_URL,City,Price_Clean,Image_Exists
Apartment in Islamabad,4.9,https://a0.muscache.com/im/pictures/hosting/Hosting-48253119/original/65db4e63-7b71-49e1-8f5a-5ca5ace4b8bf.jpeg,output\images\islamabad\48253119_f7911e54_p2.jpeg,https://www.airbnb.com/rooms/48253119?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3rVmQ4JcM9cljSy&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$1522.00,True
Room in Islamabad,5.0,https://a0.muscache.com/im/pictures/user/User/original/99d6ec7b-7248-469b-aab6-1b70e9771cb9.jpeg?aki_policy=profile_small,output\images\islamabad\1425545430567495569_08af8100_p2.jpeg,https://www.airbnb.com/rooms/1425545430567495569?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2181358538&source_impression_id=p3_1754985590_P3EKdL71-l902wbo&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$573.00,True
Apartment in Rawalpindi,4.97,https://a0.muscache.com/im/pictures/hosting/Hosting-1114329711347062192/original/6ee00cbc-bee3-4fc3-8837-d5717aa3a3a1.jpeg,output\images\islamabad\1114329711347062192_53542e5b_p2.jpeg,https://www.airbnb.com/rooms/1114329711347062192?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3TRNURBQV03P2yr&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$991.00,True
Condo in Islamabad,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1473849338524966336/original/f01a4af4-9b01-4e68-a2d2-01e987b13dad.jpeg,output\images\islamabad\1473849338524966336_281b8608_p2.jpeg,https://www.airbnb.com/rooms/1473849338524966336?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P3CwkaQmw-DpO2-0&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$700.00,True
Apartment in Rawalpindi,4.71,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\1437098997055640391_1fd9037a_p2.png,https://www.airbnb.com/rooms/1437098997055640391?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985590_P314JWLvzKRYNTf1&previous_page_section_name=1000&federated_search_id=c221cb52-35a3-4fd7-9bab-2ef59ba2a9ba,Islamabad,$605.00,True
Condo in Islamabad,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1473849338524966336/original/f01a4af4-9b01-4e68-a2d2-01e987b13dad.jpeg,output\images\islamabad\1473849338524966336_281b8608_p3.jpeg,https://www.airbnb.com/rooms/1473849338524966336?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985629_P3DqZIgo672I21pl&previous_page_section_name=1000&federated_search_id=8cc4ec8c-7382-402d-8dc7-98d2e24e91a9,Islamabad,$700.00,True
Apartment in Islamabad,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1450859378921585628/original/bcf904c6-4918-487d-9976-4c70f6259127.jpeg,output\images\islamabad\1450859378921585628_2e5163b4_p3.jpeg,https://www.airbnb.com/rooms/1450859378921585628?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985629_P3aH7qj3_HZx6V4W&previous_page_section_name=1000&federated_search_id=8cc4ec8c-7382-402d-8dc7-98d2e24e91a9,Islamabad,$582.00,True
Condo in Islamabad,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1470882270290756500/original/7dba0428-d0d2-4e00-8a81-80b7695775a6.jpeg,output\images\islamabad\1470882270290756500_5d65cc1d_p3.jpeg,https://www.airbnb.com/rooms/1470882270290756500?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985629_P3yMRpZ6KRBmfuGX&previous_page_section_name=1000&federated_search_id=8cc4ec8c-7382-402d-8dc7-98d2e24e91a9,Islamabad,$617.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1466491103942719150/original/59289683-0552-43e1-9e3e-b308c8906081.jpeg,output\images\islamabad\1466491103942719150_3bb29ee9_p3.jpeg,https://www.airbnb.com/rooms/1466491103942719150?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985629_P39Rr5REIYFJvos6&previous_page_section_name=1000&federated_search_id=8cc4ec8c-7382-402d-8dc7-98d2e24e91a9,Islamabad,$636.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1425997822623246596/original/0991d480-25f6-4ce7-a953-b39c41b30c6b.jpeg,output\images\islamabad\1436819140958243527_f73c7fc0_p3.jpeg,https://www.airbnb.com/rooms/1436819140958243527?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985629_P3yGMEZjxjaRy1hU&previous_page_section_name=1000&federated_search_id=8cc4ec8c-7382-402d-8dc7-98d2e24e91a9,Islamabad,$506.00,True
Home in Islamabad,4.76,https://a0.muscache.com/im/pictures/miso/Hosting-679254091081813149/original/0872af84-7577-4b31-beab-2c3754c6f416.jpeg,output\images\islamabad\679254091081813149_4b0c1b11_p3.jpeg,https://www.airbnb.com/rooms/679254091081813149?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985629_P32pHc4BRwZHRmXn&previous_page_section_name=1000&federated_search_id=8cc4ec8c-7382-402d-8dc7-98d2e24e91a9,Islamabad,$496.00,True
Room in Islamabad,0.0,https://a0.muscache.com/im/pictures/user/User/original/0eac8927-8eef-484a-b84c-b9d052d551d7.jpeg?aki_policy=profile_small,output\images\islamabad\1482533281106021392_bed00a5b_p3.jpeg,https://www.airbnb.com/rooms/1482533281106021392?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2286564793&source_impression_id=p3_1754985629_P3IRvZOr7B2shpqp&previous_page_section_name=1000&federated_search_id=8cc4ec8c-7382-402d-8dc7-98d2e24e91a9,Islamabad,$437.00,True
