Title,Price,Rating,Reviews,Image_URL,Listing_URL,City,Page,Scraped_At
Room in Islamabad,"$872 $702 Show price breakdown $702 monthly, originally $872 monthly",4.87,,https://a0.muscache.com/im/pictures/user/ceb2122e-30c9-4543-9084-11eb0a7ce02e.jpg?im_w=720,https://www.airbnb.com/rooms/578788289772984553?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1420338695&source_impression_id=p3_1754981096_P3SiYStfV764tL4w&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.576562
Apartment in Islamabad,"$605 $489 Show price breakdown $489 monthly, originally $605 monthly",,,https://a0.muscache.com/im/pictures/hosting/Hosting-1483479128720837234/original/a4a01839-4c90-4f7e-a508-790339624374.jpeg?im_w=720,https://www.airbnb.com/rooms/1483479128720837234?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3OLOBVtzyfaIypl&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.581473
Apartment in Islamabad,"$717 $580 Show price breakdown $580 monthly, originally $717 monthly",5,,https://a0.muscache.com/im/pictures/hosting/Hosting-1404307910048275849/original/c35802f1-c213-48a7-971d-21472cb3a421.jpeg?im_w=720,https://www.airbnb.com/rooms/1404307910048275849?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P369TzCCyuoYi0oL&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.586722
Room in Islamabad,"$540 $437 Show price breakdown $437 monthly, originally $540 monthly",5,,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3&im_w=720,https://www.airbnb.com/rooms/1402343034814274217?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2177485386&source_impression_id=p3_1754981096_P3fF_trbCxJuNV-n&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.593504
Apartment in Islamabad,"$1,522 $1,231 Show price breakdown $1,231 monthly, originally $1,522 monthly",4.9,,https://a0.muscache.com/im/pictures/hosting/Hosting-48253119/original/65db4e63-7b71-49e1-8f5a-5ca5ace4b8bf.jpeg?im_w=720,https://www.airbnb.com/rooms/48253119?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3TSmH-Ld-Eyjh3V&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.596521
Apartment in Rawalpindi,"$991 $897 Show price breakdown $897 monthly, originally $991 monthly",4.97,,https://a0.muscache.com/im/pictures/hosting/Hosting-1114329711347062192/original/6ee00cbc-bee3-4fc3-8837-d5717aa3a3a1.jpeg?im_w=720,https://www.airbnb.com/rooms/1114329711347062192?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3qDtFsd-bgBXFZT&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.600011
Apartment in Islamabad,"$1,235 $1,117 Show price breakdown $1,117 monthly, originally $1,235 monthly",4.91,,https://a0.muscache.com/im/pictures/hosting/Hosting-1379012627810841650/original/5c830313-3610-4017-9342-1c18a8b56a40.jpeg?im_w=720,https://www.airbnb.com/rooms/1379012627810841650?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3jEw2qGcVnR2MW9&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.602972
Apartment in Rawalpindi,"$605 $489 Show price breakdown $489 monthly, originally $605 monthly",4.71,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/1437098997055640391?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3mtAgOUYy-5pOp-&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.608618
Condo in Islamabad,"$700 $566 Show price breakdown $566 monthly, originally $700 monthly",,,https://a0.muscache.com/im/pictures/hosting/Hosting-1473849338524966336/original/f01a4af4-9b01-4e68-a2d2-01e987b13dad.jpeg?im_w=720,https://www.airbnb.com/rooms/1473849338524966336?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981096_P3U4jEZ7WC3mdU82&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.613347
Room in Islamabad,"$573 $463 Show price breakdown $463 monthly, originally $573 monthly",5,,https://a0.muscache.com/im/pictures/user/User/original/99d6ec7b-7248-469b-aab6-1b70e9771cb9.jpeg?im_w=720,https://www.airbnb.com/rooms/1425545430567495569?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2181358538&source_impression_id=p3_1754981096_P37TwTqDnKF5pWZF&previous_page_section_name=1000&federated_search_id=d742eff5-fb79-4e26-b163-df922c9d97f8,Islamabad,2,2025-08-12T06:45:03.619176
